SignalIdentifier,EventCode,EventParam,Timestamp
7115,81,20,31:23.9
7115,81,21,31:23.9
7115,81,19,31:24.2
7115,81,21,31:24.9
7115,81,19,31:25.3
7115,81,19,31:25.4
7115,82,19,31:25.5
7115,82,21,31:25.6
7115,82,19,31:26.3
7115,81,19,31:26.6
7115,81,19,31:26.9
7115,82,19,31:27.2
7115,81,21,31:27.8
7115,82,21,31:29.1
7115,81,19,31:29.5
7115,81,21,31:31.0
7115,82,19,31:31.7
7115,82,21,31:32.2
7115,81,19,31:32.9
7115,82,21,31:34.0
7115,81,21,31:34.9
7115,81,21,31:36.7
7115,82,19,31:38.9
7115,81,19,31:41.3
7115,82,21,31:44.9
7115,82,20,31:44.9
7115,82,21,31:45.0
7115,81,20,31:45.8
7115,81,21,31:46.2
7115,81,21,31:47.6
7115,82,20,32:09.6
7115,81,20,32:11.1
7115,82,21,32:27.5
7115,82,19,32:36.2
7115,82,20,32:38.6
7115,81,21,32:38.7
7115,82,20,32:43.7
7115,82,20,32:43.9
7115,82,19,32:51.5
7115,82,21,33:04.4
7115,82,19,33:45.6
7115,81,19,33:49.9
7115,81,21,33:50.2
7115,81,20,33:50.9
7115,81,19,33:51.2
7115,82,19,33:52.1
7115,81,20,33:53.5
7115,82,21,33:54.5
7115,81,20,33:54.6
7115,82,20,33:55.3
7115,81,20,33:56.2
7115,81,21,33:56.3
7115,81,19,33:57.0
7115,81,19,33:57.5
7115,82,19,33:59.1
7115,81,19,34:00.3
7115,82,20,34:09.8
7115,82,19,34:10.0
7115,81,19,34:11.2
7115,82,21,34:11.8
7115,81,21,34:12.1
7115,81,20,34:13.7
7115,82,20,34:16.2
7115,81,20,34:17.1
7115,82,20,34:23.2
7115,81,20,34:24.3
7115,82,21,34:51.0
7115,81,21,34:52.3
7115,82,21,34:52.6
7115,82,21,34:55.1
7115,82,20,34:58.2
7115,82,21,35:01.6
7115,81,20,35:01.7
7115,82,20,35:04.3
7115,82,19,35:14.0
7115,82,20,35:15.7
7115,82,19,35:34.5
7115,82,19,35:34.6
7115,82,20,35:35.4
7115,81,19,35:38.8
7115,82,19,35:52.2
7115,81,19,35:53.4
7115,82,19,35:59.9
7115,81,21,36:19.3
7115,81,21,36:19.4
7115,81,20,36:20.2
7115,82,21,36:20.7
7115,82,20,36:21.0
7115,81,19,36:21.4
7115,82,21,36:21.9
7115,81,20,36:22.1
7115,81,20,36:22.2
7115,82,20,36:22.7
7115,81,19,36:22.8
7115,81,19,36:23.0
7115,81,20,36:23.1
7115,82,19,36:23.2
7115,81,21,36:23.3
7115,81,21,36:23.6
7115,82,19,36:24.1
7115,82,21,36:24.3
7115,81,20,36:24.4
7115,81,19,36:24.4
7115,82,19,36:24.6
7115,82,21,36:24.7
7115,81,21,36:25.3
7115,81,19,36:25.6
7115,81,19,36:25.9
7115,81,21,36:26.4
7115,82,19,36:26.9
7115,81,19,36:28.1
7115,81,21,36:28.8
7115,82,20,36:29.0
7115,81,20,36:30.0
7115,82,20,36:36.3
7115,82,19,36:36.3
7115,81,20,36:41.2
7115,81,19,36:42.9
7115,82,19,36:51.3
7115,81,19,36:54.4
7115,82,20,36:56.6
7115,81,20,36:57.6
7115,82,21,37:03.7
7115,81,21,37:06.3
7115,82,21,37:34.4
7115,82,20,37:35.7
7115,82,20,37:38.8
7115,81,21,37:40.5
7115,82,21,37:40.6
7115,82,21,37:41.1
7115,82,19,37:45.4
7115,81,21,37:46.6
7115,82,21,37:47.6
7115,82,19,37:51.5
7115,81,21,37:54.9
7115,82,21,37:56.0
7115,82,19,37:56.3
7115,82,21,38:12.4
7115,81,19,38:31.4
7115,81,21,38:37.6
7115,82,21,38:38.0
7115,81,21,38:39.2
7115,82,19,38:44.4
7115,81,19,38:51.3
7115,81,19,38:51.6
7115,81,21,38:52.3
7115,81,20,38:52.3
7115,82,19,38:53.1
7115,81,20,38:53.8
7115,81,19,38:54.0
7115,81,21,38:55.8
7115,82,20,38:56.3
7115,81,19,38:56.5
7115,81,20,38:57.9
7115,82,19,39:00.6
7115,82,20,39:00.8
7115,81,19,39:02.0
7115,81,20,39:03.0
7115,82,19,39:03.9
