Location Id,Timestamp,Event Code,Event Parameter
7115,4/17/2023 8:08:1.5,82,2
7115,4/17/2023 8:08:3.5,82,2
7115,4/17/2023 8:08:4.4,82,2
7115,4/17/2023 8:08:5.6,82,2
7115,4/17/2023 8:08:6.5,82,2
7115,4/17/2023 8:08:10.9,82,2
7115,4/17/2023 8:08:17.9,82,2
7115,4/17/2023 8:08:18.2,82,2
7115,4/17/2023 8:08:19.0,82,2
7115,4/17/2023 8:08:26.0,82,2
7115,4/17/2023 8:08:26.2,82,2
7115,4/17/2023 8:08:27.3,82,2
7115,4/17/2023 8:08:29.5,82,2
7115,4/17/2023 8:08:29.7,82,2
7115,4/17/2023 8:08:30.8,82,2
7115,4/17/2023 8:08:31.0,82,2
7115,4/17/2023 8:08:31.4,82,2
7115,4/17/2023 8:08:31.7,82,2
7115,4/17/2023 8:08:32.5,82,2
7115,4/17/2023 8:08:32.7,82,2
7115,4/17/2023 8:08:34.4,82,2
7115,4/17/2023 8:08:35.7,82,2
7115,4/17/2023 8:08:37.7,82,2
7115,4/17/2023 8:08:38.7,82,2
7115,4/17/2023 8:08:42.2,82,2
7115,4/17/2023 8:08:42.6,82,2
7115,4/17/2023 8:08:42.9,82,2
7115,4/17/2023 8:08:44.6,82,2
7115,4/17/2023 8:08:45.2,82,2
7115,4/17/2023 8:08:46.9,82,2
7115,4/17/2023 8:08:47.3,82,2
7115,4/17/2023 8:08:48.7,82,2
7115,4/17/2023 8:08:49.2,82,2
7115,4/17/2023 8:08:49.5,82,2
7115,4/17/2023 8:08:51.4,82,2
7115,4/17/2023 8:08:53.0,82,2
7115,4/17/2023 8:08:54.4,82,2
7115,4/17/2023 8:08:55.1,82,2
7115,4/17/2023 8:08:55.7,82,2
7115,4/17/2023 8:08:58.1,82,2
7115,4/17/2023 8:08:59.5,82,2
7115,4/17/2023 8:09:0.0,82,2
7115,4/17/2023 8:09:0.4,82,2
7115,4/17/2023 8:09:1.1,82,2
7115,4/17/2023 8:09:2.0,82,2
7115,4/17/2023 8:09:3.7,82,2
7115,4/17/2023 8:09:6.7,82,2
7115,4/17/2023 8:09:7.3,82,2
7115,4/17/2023 8:09:11.3,82,2
7115,4/17/2023 8:09:12.0,82,2
7115,4/17/2023 8:09:14.9,82,2
7115,4/17/2023 8:09:16.7,82,2
7115,4/17/2023 8:09:18.5,82,2
7115,4/17/2023 8:09:20.6,82,2
7115,4/17/2023 8:09:25.0,82,2
7115,4/17/2023 8:09:26.7,82,2
7115,4/17/2023 8:09:29.0,82,2
7115,4/17/2023 8:09:29.3,82,2
7115,4/17/2023 8:09:30.2,82,2
7115,4/17/2023 8:09:32.1,82,2
7115,4/17/2023 8:09:32.9,82,2
7115,4/17/2023 8:09:35.3,82,2
7115,4/17/2023 8:09:35.9,82,2
7115,4/17/2023 8:09:36.2,82,2
7115,4/17/2023 8:09:37.1,82,2
7115,4/17/2023 8:09:37.3,82,2
7115,4/17/2023 8:09:38.7,82,2
7115,4/17/2023 8:09:39.6,82,2
7115,4/17/2023 8:09:39.8,82,2
7115,4/17/2023 8:09:41.3,82,2
7115,4/17/2023 8:09:41.5,82,2
7115,4/17/2023 8:09:41.8,82,2
7115,4/17/2023 8:09:42.9,82,2
7115,4/17/2023 8:09:45.0,82,2
7115,4/17/2023 8:09:48.8,82,2
7115,4/17/2023 8:09:49.4,82,2
7115,4/17/2023 8:09:50.0,82,2
7115,4/17/2023 8:09:52.2,82,2
7115,4/17/2023 8:09:52.8,82,2
7115,4/17/2023 8:09:53.5,82,2
7115,4/17/2023 8:09:54.0,82,2
7115,4/17/2023 8:09:54.4,82,2
7115,4/17/2023 8:09:55.2,82,2
7115,4/17/2023 8:09:56.6,82,2
7115,4/17/2023 8:09:56.9,82,2
7115,4/17/2023 8:09:57.9,82,2
7115,4/17/2023 8:09:59.7,82,2
7115,4/17/2023 8:10:0.0,82,2
7115,4/17/2023 8:10:1.4,82,2
7115,4/17/2023 8:10:1.8,82,2
7115,4/17/2023 8:10:2.1,82,2
7115,4/17/2023 8:10:2.8,82,2
7115,4/17/2023 8:10:11.5,82,2
7115,4/17/2023 8:10:11.8,82,2
7115,4/17/2023 8:10:12.5,82,2
7115,4/17/2023 8:10:13.4,82,2
7115,4/17/2023 8:10:16.0,82,2
7115,4/17/2023 8:10:16.2,82,2
7115,4/17/2023 8:10:16.5,82,2
7115,4/17/2023 8:10:17.4,82,2
7115,4/17/2023 8:10:17.8,82,2
7115,4/17/2023 8:10:19.6,82,2
7115,4/17/2023 8:10:20.5,82,2
7115,4/17/2023 8:10:21.4,82,2
7115,4/17/2023 8:10:24.3,82,2
7115,4/17/2023 8:10:27.0,82,2
7115,4/17/2023 8:10:27.5,82,2
7115,4/17/2023 8:10:30.1,82,2
7115,4/17/2023 8:10:32.3,82,2
7115,4/17/2023 8:10:35.3,82,2
7115,4/17/2023 8:10:41.8,82,2
7115,4/17/2023 8:10:42.2,82,2
7115,4/17/2023 8:10:43.3,82,2
7115,4/17/2023 8:10:43.8,82,2
7115,4/17/2023 8:10:48.5,82,2
7115,4/17/2023 8:10:52.5,82,2
7115,4/17/2023 8:10:52.7,82,2
7115,4/17/2023 8:10:53.0,82,2
7115,4/17/2023 8:10:54.8,82,2
7115,4/17/2023 8:10:55.7,82,2
7115,4/17/2023 8:10:57.1,82,2
7115,4/17/2023 8:10:59.0,82,2
7115,4/17/2023 8:10:59.3,82,2
7115,4/17/2023 8:11:2.0,82,2
7115,4/17/2023 8:11:2.2,82,2
7115,4/17/2023 8:11:2.9,82,2
7115,4/17/2023 8:11:4.6,82,2
7115,4/17/2023 8:11:6.4,82,2
7115,4/17/2023 8:11:7.3,82,2
7115,4/17/2023 8:11:8.7,82,2
7115,4/17/2023 8:11:11.0,82,2
7115,4/17/2023 8:11:13.4,82,2
7115,4/17/2023 8:11:15.1,82,2
7115,4/17/2023 8:11:17.1,82,2
7115,4/17/2023 8:11:17.6,82,2
7115,4/17/2023 8:11:18.9,82,2
7115,4/17/2023 8:11:20.3,82,2
7115,4/17/2023 8:11:24.6,82,2
7115,4/17/2023 8:11:25.5,82,2
7115,4/17/2023 8:11:28.5,82,2
7115,4/17/2023 8:11:31.2,82,2
7115,4/17/2023 8:11:46.5,82,2
7115,4/17/2023 8:11:48.7,82,2
7115,4/17/2023 8:11:49.1,82,2
7115,4/17/2023 8:11:49.3,82,2
7115,4/17/2023 8:11:54.6,82,2
7115,4/17/2023 8:11:54.9,82,2
7115,4/17/2023 8:11:57.9,82,2
7115,4/17/2023 8:12:0.2,82,2
7115,4/17/2023 8:12:0.5,82,2
7115,4/17/2023 8:12:5.0,82,2
7115,4/17/2023 8:12:5.3,82,2
7115,4/17/2023 8:12:7.0,82,2
7115,4/17/2023 8:12:7.3,82,2
7115,4/17/2023 8:12:15.7,82,2
7115,4/17/2023 8:12:17.3,82,2
7115,4/17/2023 8:12:17.5,82,2
7115,4/17/2023 8:12:17.8,82,2
7115,4/17/2023 8:12:21.2,82,2
7115,4/17/2023 8:12:21.4,82,2
7115,4/17/2023 8:12:21.9,82,2
7115,4/17/2023 8:12:23.5,82,2
7115,4/17/2023 8:12:26.6,82,2
7115,4/17/2023 8:12:26.9,82,2
7115,4/17/2023 8:12:29.2,82,2
7115,4/17/2023 8:12:29.5,82,2
7115,4/17/2023 8:12:32.6,82,2
7115,4/17/2023 8:12:33.3,82,2
7115,4/17/2023 8:12:34.2,82,2
7115,4/17/2023 8:12:37.7,82,2
7115,4/17/2023 8:12:38.9,82,2
7115,4/17/2023 8:12:40.7,82,2
7115,4/17/2023 8:12:41.2,82,2
7115,4/17/2023 8:12:41.7,82,2
7115,4/17/2023 8:12:42.9,82,2
