LocationIdentifier,Timestamp,EventCode,EventParam
5000,47:55.3,8,2
5000,49:10.0,1,2
5000,50:25.3,8,2
5000,52:55.3,8,2
5000,54:09.8,1,2
5000,55:43.3,8,2
5000,57:01.9,1,2
5000,57:55.3,8,2
5000,59:17.0,1,2
5000,00:25.3,8,2
5000,02:55.3,8,2
5000,04:08.4,1,2
5000,05:25.3,8,2
5000,06:38.3,1,2
5000,07:55.3,8,2
5000,08:56.9,1,2
5000,10:25.3,8,2
5000,12:55.3,8,2
5000,14:04.5,1,2
5000,15:25.3,8,2
5000,16:43.4,1,2
5000,17:55.3,8,2
5000,19:15.3,1,2
5000,20:25.3,8,2
5000,22:00.0,1,2
5000,22:55.3,8,2
5000,24:30.0,1,2
5000,25:25.3,8,2
5000,26:40.8,1,2
5000,27:55.3,8,2
5000,29:11.6,1,2
5000,30:25.3,8,2
5000,32:55.3,8,2
5000,34:11.8,1,2
5000,35:25.3,8,2
5000,36:26.2,1,2
5000,37:55.3,8,2
5000,38:54.4,1,2
5000,40:25.3,8,2
5000,42:55.3,8,2
5000,44:12.8,1,2
5000,45:25.3,8,2
5000,46:34.6,1,2
5000,47:55.3,8,2
5000,49:06.0,1,2
5000,50:25.3,8,2
5000,52:55.3,8,2
5000,54:00.1,1,2
5000,55:25.3,8,2
5000,56:34.2,1,2
5000,57:55.3,8,2
5000,59:10.6,1,2
5000,00:25.3,8,2
5000,02:55.3,8,2
5000,04:00.5,1,2
5000,05:25.3,8,2
5000,06:37.9,1,2
5000,07:55.3,8,2
5000,09:05.7,1,2
5000,10:25.3,8,2
5000,11:46.4,1,2
5000,12:55.3,8,2
5000,13:59.3,1,2
5000,15:43.3,8,2
5000,16:16.4,1,2
5000,17:55.3,8,2
5000,19:02.2,1,2
5000,20:25.3,8,2
5000,22:55.3,8,2
5000,24:01.0,1,2
5000,25:25.3,8,2
5000,26:36.4,1,2
5000,27:55.3,8,2
5000,28:57.6,1,2
5000,30:25.3,8,2
5000,32:55.3,8,2
5000,33:48.6,1,2
5000,35:28.5,8,2
5000,36:30.6,1,2
5000,37:55.3,8,2
5000,39:01.5,1,2
5000,40:25.3,8,2
5000,42:55.3,8,2
5000,44:11.1,1,2
5000,45:25.3,8,2
5000,46:31.8,1,2
5000,47:55.3,8,2
5000,48:57.6,1,2
5000,50:25.3,8,2
5000,52:55.3,8,2
5000,54:21.1,1,2
5000,55:25.3,8,2
5000,56:31.8,1,2
5000,58:13.3,8,2
5000,59:30.0,1,2
5000,01:54.0,1,2
5000,02:58.3,8,2
5000,03:25.2,1,2
5000,04:58.3,8,2
5000,05:53.0,1,2
5000,06:58.3,8,2
5000,07:31.6,1,2
5000,08:58.3,8,2
5000,10:06.2,1,2
5000,12:58.3,8,2
5000,13:32.9,1,2
5000,14:58.3,8,2
5000,16:07.7,1,2
5000,17:03.5,8,2
5000,17:33.0,1,2
5000,18:58.3,8,2
5000,19:39.8,1,2
5000,20:58.3,8,2
5000,22:58.3,8,2
5000,23:34.2,1,2
5000,24:58.3,8,2
5000,25:49.3,1,2
5000,26:58.3,8,2
5000,28:10.0,1,2
5000,28:58.3,8,2
5000,29:40.2,1,2
5000,30:58.3,8,2
5000,31:49.8,1,2
5000,32:58.3,8,2
5000,33:50.3,1,2
5000,34:58.3,8,2
5000,35:49.7,1,2
5000,36:58.3,8,2
5000,37:34.9,1,2
5000,38:58.3,8,2
5000,39:46.2,1,2
5000,40:58.3,8,2
5000,41:43.3,1,2
5000,42:58.3,8,2
5000,43:45.8,1,2
5000,44:58.3,8,2
5000,45:39.6,1,2
5000,46:58.3,8,2
5000,47:46.4,1,2
5000,48:58.3,8,2
5000,49:26.5,1,2
5000,50:58.3,8,2
5000,51:42.7,1,2
5000,52:58.3,8,2
5000,54:07.3,1,2
5000,54:58.3,8,2
5000,55:47.8,1,2
5000,56:58.3,8,2
5000,58:09.3,1,2
5000,59:05.1,8,2
5000,59:49.5,1,2
5000,00:58.3,8,2
5000,02:58.3,8,2
5000,03:41.2,1,2
5000,04:58.3,8,2
5000,06:05.5,1,2
5000,06:58.3,8,2
5000,07:53.0,1,2
5000,08:58.3,8,2
5000,09:46.2,1,2
5000,10:58.3,8,2
5000,11:40.1,1,2
5000,12:58.3,8,2
5000,13:39.2,1,2
5000,14:58.3,8,2
5000,15:40.4,1,2
5000,16:58.3,8,2
5000,17:47.9,1,2
5000,18:58.3,8,2
5000,19:34.0,1,2
5000,22:58.3,8,2
5000,23:43.1,1,2
5000,24:58.3,8,2
5000,25:50.8,1,2
5000,26:58.3,8,2
5000,27:46.8,1,2
5000,28:58.3,8,2
5000,29:36.8,1,2
5000,30:58.3,8,2
5000,31:47.9,1,2
5000,32:58.3,8,2
5000,33:23.0,1,2
5000,34:58.3,8,2
5000,35:56.2,1,2
5000,36:58.3,8,2
5000,37:40.3,1,2
5000,38:58.3,8,2
5000,39:44.4,1,2
5000,40:58.3,8,2
5000,42:58.3,8,2
5000,43:43.1,1,2
5000,44:58.3,8,2
5000,45:39.6,1,2
5000,46:58.3,8,2
5000,47:25.5,1,2
5000,48:58.3,8,2
5000,49:35.7,1,2
5000,50:58.3,8,2
5000,51:41.3,1,2
5000,52:58.3,8,2
5000,53:36.7,1,2
5000,54:58.3,8,2
5000,55:28.7,1,2
5000,56:58.3,8,2
5000,57:46.3,1,2
5000,58:58.3,8,2
5000,59:33.4,1,2
5000,00:39.9,8,2
5000,01:50.1,8,2
5000,02:18.8,1,2
5000,02:34.1,8,2
5000,03:15.7,1,2
5000,03:42.1,8,2
5000,04:08.3,1,2
5000,04:50.1,8,2
5000,05:13.4,1,2
5000,05:40.9,8,2
5000,06:05.2,1,2
5000,06:48.4,8,2
5000,07:17.4,1,2
5000,08:24.7,8,2
5000,08:47.4,1,2
5000,09:13.2,8,2
5000,09:55.8,1,2
5000,10:28.9,8,2
5000,11:54.3,8,2
5000,12:16.5,1,2
5000,13:05.4,8,2
5000,13:29.1,1,2
5000,14:04.5,8,2
5000,14:46.5,1,2
5000,15:12.6,8,2
5000,15:52.6,1,2
5000,16:13.3,8,2
5000,16:38.2,1,2
5000,17:04.5,8,2
5000,17:27.9,1,2
5000,17:57.6,8,2
5000,18:24.3,1,2
5000,19:23.9,8,2
5000,19:50.7,1,2
5000,20:19.9,8,2
5000,22:04.4,8,2
5000,22:46.4,1,2
5000,23:28.2,8,2
5000,24:06.9,1,2
5000,24:29.8,8,2
5000,24:55.0,1,2
5000,25:24.3,8,2
5000,25:49.7,1,2
5000,26:30.5,8,2
5000,26:54.9,1,2
5000,27:37.0,8,2
5000,28:44.1,1,2
5000,29:16.5,8,2
5000,29:42.1,1,2
5000,30:10.8,8,2
5000,30:35.1,1,2
5000,32:07.6,8,2
5000,32:32.2,1,2
5000,32:59.2,8,2
5000,33:21.1,1,2
5000,33:53.5,8,2
5000,34:16.9,1,2
5000,34:50.1,8,2
5000,35:41.7,1,2
5000,36:31.6,8,2
5000,36:57.0,1,2
5000,37:30.8,8,2
5000,38:40.1,1,2
5000,39:14.8,8,2
5000,39:40.8,1,2
5000,40:03.5,8,2
5000,40:30.9,1,2
5000,40:52.4,8,2
5000,41:41.8,8,2
5000,42:03.8,1,2
5000,42:34.6,8,2
5000,42:59.9,1,2
5000,43:24.5,8,2
5000,43:47.8,1,2
5000,44:15.4,8,2
5000,44:37.5,1,2
5000,44:55.0,8,2
5000,45:17.4,1,2
5000,45:28.5,8,2
5000,46:10.3,1,2
5000,46:34.6,8,2
5000,46:56.4,1,2
5000,47:22.9,8,2
5000,47:47.5,1,2
5000,48:12.7,8,2
5000,48:54.3,1,2
5000,49:27.9,8,2
5000,49:52.9,1,2
5000,50:06.9,8,2
5000,50:44.2,1,2
5000,51:43.1,1,2
5000,52:04.1,8,2
5000,52:25.7,1,2
5000,52:55.2,8,2
5000,53:23.8,1,2
5000,53:57.7,8,2
5000,54:21.2,1,2
5000,54:47.0,8,2
5000,55:09.6,1,2
5000,55:24.0,8,2
5000,55:46.7,1,2
5000,56:12.0,8,2
