DetectorId,Mph,Kph,TimeStamp
500006,36,58,6/14/2023 2:34:29.1
500006,44,71,6/14/2023 2:35:39.8
500006,36,58,6/14/2023 2:36:14.9
500006,55,89,6/14/2023 2:36:20.5
500008,52,84,6/14/2023 2:37:53.1
500006,36,58,6/14/2023 2:39:21.9
500006,40,64,6/14/2023 2:41:53.7
500008,33,53,6/14/2023 2:41:55.4
500008,43,69,6/14/2023 2:44:31.1
500008,35,56,6/14/2023 2:45:29.2
500006,46,74,6/14/2023 2:46:10.0
500008,55,89,6/14/2023 2:46:38.9
500006,40,64,6/14/2023 2:46:57.9
500008,37,60,6/14/2023 2:47:03.2
500008,45,72,6/14/2023 2:47:43.2
500006,55,89,6/14/2023 2:49:19.7
500008,48,77,6/14/2023 2:50:08.7
500006,45,72,6/14/2023 2:50:44.9
500006,40,64,6/14/2023 2:51:36.9
500006,40,64,6/14/2023 2:51:40.3
500006,47,76,6/14/2023 2:52:43.5
500008,42,68,6/14/2023 2:52:59.6
500008,41,66,6/14/2023 2:54:50.4
500008,38,61,6/14/2023 2:55:35.6
500006,44,71,6/14/2023 2:56:32.3
500006,41,66,6/14/2023 2:57:29.4
500006,50,80,6/14/2023 2:57:37.7
500006,43,69,6/14/2023 2:57:47.4
500008,40,64,6/14/2023 2:58:40.5
500006,43,69,6/14/2023 2:59:19.1
500008,41,66,6/14/2023 2:59:44.9
500008,40,64,6/14/2023 3:01:22.4
500008,44,71,6/14/2023 3:01:45.6
500006,41,66,6/14/2023 3:01:48.7
500006,39,63,6/14/2023 3:01:55.7
500006,49,79,6/14/2023 3:02:20.4
500006,74,119,6/14/2023 3:02:38.0
500008,41,66,6/14/2023 3:03:37.7
500006,43,69,6/14/2023 3:05:17.9
500006,42,68,6/14/2023 3:05:28.5
500008,42,68,6/14/2023 3:06:59.9
500008,40,64,6/14/2023 3:07:21.4
500006,50,80,6/14/2023 3:07:53.7
500006,51,82,6/14/2023 3:08:19.2
500008,37,60,6/14/2023 3:08:24.9
500008,49,79,6/14/2023 3:10:16.6
500008,38,61,6/14/2023 3:11:16.0
500008,39,63,6/14/2023 3:11:26.7
500008,39,63,6/14/2023 3:11:40.1
500006,36,58,6/14/2023 3:12:12.4
500006,42,68,6/14/2023 3:12:40.7
500006,52,84,6/14/2023 3:13:34.3
500008,38,61,6/14/2023 3:13:48.3
500006,49,79,6/14/2023 3:13:56.6
500008,46,74,6/14/2023 3:14:17.6
500008,41,66,6/14/2023 3:15:32.5
500008,55,89,6/14/2023 3:15:36.3
500006,42,68,6/14/2023 3:15:55.1
500008,46,74,6/14/2023 3:16:11.9
500006,36,58,6/14/2023 3:16:27.1
500008,39,63,6/14/2023 3:17:38.4
500008,43,69,6/14/2023 3:18:07.4
500008,41,66,6/14/2023 3:20:02.9
500008,47,76,6/14/2023 3:20:04.1
500006,38,61,6/14/2023 3:20:07.3
500006,54,87,6/14/2023 3:20:08.9
500008,35,56,6/14/2023 3:23:12.7
500008,47,76,6/14/2023 3:27:04.5
500006,42,68,6/14/2023 3:27:58.0
500006,32,51,6/14/2023 3:29:43.2
500008,35,56,6/14/2023 3:30:06.5
500008,55,89,6/14/2023 3:32:05.8
500006,41,66,6/14/2023 3:32:31.9
500006,44,71,6/14/2023 3:34:19.6
500006,43,69,6/14/2023 3:35:20.0
500006,41,66,6/14/2023 3:35:22.2
500006,38,61,6/14/2023 3:36:22.2
500008,40,64,6/14/2023 3:37:27.4
500006,45,72,6/14/2023 3:37:49.8
500006,51,82,6/14/2023 3:38:15.2
500006,45,72,6/14/2023 3:38:27.2
500006,40,64,6/14/2023 3:38:37.9
500008,42,68,6/14/2023 3:38:54.9
500008,37,60,6/14/2023 3:39:42.4
500008,55,89,6/14/2023 3:39:42.7
500008,45,72,6/14/2023 3:40:44.7
500008,45,72,6/14/2023 3:42:36.6
500006,40,64,6/14/2023 3:43:02.7
500008,43,69,6/14/2023 3:43:08.7
500008,41,66,6/14/2023 3:43:16.2
500008,41,66,6/14/2023 3:43:22.1
500006,43,69,6/14/2023 3:43:42.8
500008,49,79,6/14/2023 3:46:10.2
500006,43,69,6/14/2023 3:46:21.4
500008,55,89,6/14/2023 3:46:34.7
500008,44,71,6/14/2023 3:46:37.0
500006,45,72,6/14/2023 3:46:53.7
500006,55,89,6/14/2023 3:47:34.3
500006,46,74,6/14/2023 3:47:46.1
500008,42,68,6/14/2023 3:47:48.8
500008,38,61,6/14/2023 3:47:55.3
500006,45,72,6/14/2023 3:48:19.3
500006,43,69,6/14/2023 3:48:20.4
500006,38,61,6/14/2023 3:49:43.0
500006,41,66,6/14/2023 3:49:49.9
500006,43,69,6/14/2023 3:50:08.1
500006,41,66,6/14/2023 3:50:33.7
500008,37,60,6/14/2023 3:50:49.0
500006,44,71,6/14/2023 3:51:00.6
500006,48,77,6/14/2023 3:51:14.8
500006,40,64,6/14/2023 3:51:29.2
500006,39,63,6/14/2023 3:51:34.0
500006,52,84,6/14/2023 3:51:57.1
500008,27,43,6/14/2023 3:52:04.4
500008,36,58,6/14/2023 3:52:11.7
500006,39,63,6/14/2023 3:53:21.4
500006,55,89,6/14/2023 3:53:26.5
500006,45,72,6/14/2023 3:53:27.4
500006,59,95,6/14/2023 3:53:31.0
500008,37,60,6/14/2023 3:53:43.7
500008,36,58,6/14/2023 3:54:06.6
500006,34,55,6/14/2023 3:54:45.7
500008,45,72,6/14/2023 3:55:26.5
500008,47,76,6/14/2023 3:55:27.3
500008,48,77,6/14/2023 3:56:23.6
500008,45,72,6/14/2023 3:56:57.9
500006,49,79,6/14/2023 3:58:24.3
500006,55,89,6/14/2023 3:58:48.2
500008,40,64,6/14/2023 3:58:51.7
500006,46,74,6/14/2023 3:59:42.4
500008,25,40,6/14/2023 3:59:46.8
500008,45,72,6/14/2023 4:00:21.9
500006,35,56,6/14/2023 4:00:35.1
500006,46,74,6/14/2023 4:00:59.7
500006,55,89,6/14/2023 4:01:05.0
500008,50,80,6/14/2023 4:01:35.9
500006,48,77,6/14/2023 4:01:46.1
500008,69,111,6/14/2023 4:01:52.6
500008,41,66,6/14/2023 4:02:18.5
500008,41,66,6/14/2023 4:02:19.5
500008,44,71,6/14/2023 4:02:27.2
500006,34,55,6/14/2023 4:03:30.8
500008,48,77,6/14/2023 4:03:36.2
500006,45,72,6/14/2023 4:04:04.1
500006,43,69,6/14/2023 4:04:42.8
500006,46,74,6/14/2023 4:05:19.7
500008,50,80,6/14/2023 4:05:56.3
500006,36,58,6/14/2023 4:06:26.1
500008,50,80,6/14/2023 4:06:31.2
500006,35,56,6/14/2023 4:06:54.8
500006,46,74,6/14/2023 4:06:56.8
500006,45,72,6/14/2023 4:08:16.7
500006,50,80,6/14/2023 4:09:34.0
500006,41,66,6/14/2023 4:09:41.0
500008,41,66,6/14/2023 4:09:42.6
500008,48,77,6/14/2023 4:09:54.0
