SignalIdentifier,EventParam,TimeStamp,EventCode
7191,2,12/1/2020 6:59:08.1,82
7191,2,12/1/2020 6:59:42.0,82
7191,2,12/1/2020 6:59:48.8,82
7191,2,12/1/2020 5:58:14.5,9
7191,2,12/1/2020 5:58:16.0,11
7191,2,12/1/2020 5:59:08.8,1
7191,2,12/1/2020 5:59:27.8,8
7191,2,12/1/2020 5:59:32.6,9
7191,2,12/1/2020 5:59:34.1,11
7191,2,12/1/2020 6:00:15.7,1
7191,2,12/1/2020 6:01:03.9,8
7191,2,12/1/2020 6:01:08.7,9
7191,2,12/1/2020 6:01:10.2,11
7191,2,12/1/2020 6:01:51.8,1
7191,2,12/1/2020 6:02:31.5,8
7191,2,12/1/2020 6:02:36.3,9
7191,2,12/1/2020 6:02:37.8,11
7191,2,12/1/2020 6:03:19.4,1
7191,2,12/1/2020 6:04:15.1,8
7191,2,12/1/2020 6:04:19.9,9
7191,2,12/1/2020 6:04:21.4,11
7191,2,12/1/2020 6:05:14.1,1
7191,2,12/1/2020 6:05:59.6,8
7191,2,12/1/2020 6:06:04.4,9
7191,2,12/1/2020 6:06:05.9,11
7191,2,12/1/2020 6:06:59.5,1
7191,2,12/1/2020 6:07:47.6,8
7191,2,12/1/2020 6:07:52.4,9
7191,2,12/1/2020 6:07:53.9,11
7191,2,12/1/2020 6:08:35.5,1
7191,2,12/1/2020 6:09:35.6,8
7191,2,12/1/2020 6:09:40.4,9
7191,2,12/1/2020 6:09:41.9,11
7191,2,12/1/2020 6:10:40.1,1
7191,2,12/1/2020 6:11:23.6,8
7191,2,12/1/2020 6:11:28.4,9
7191,2,12/1/2020 6:11:29.9,11
7191,2,12/1/2020 6:12:24.0,1
7191,2,12/1/2020 6:13:11.6,8
7191,2,12/1/2020 6:13:16.4,9
7191,2,12/1/2020 6:13:17.9,11
7191,2,12/1/2020 6:13:59.5,1
7191,2,12/1/2020 6:14:59.6,8
7191,2,12/1/2020 6:15:04.4,9
7191,2,12/1/2020 6:15:05.9,11
7191,2,12/1/2020 6:15:59.2,1
7191,2,12/1/2020 6:16:47.6,8
7191,2,12/1/2020 6:16:52.4,9
7191,2,12/1/2020 6:16:53.9,11
7191,2,12/1/2020 6:17:54.4,1
7191,2,12/1/2020 6:18:35.6,8
7191,2,12/1/2020 6:18:40.4,9
7191,2,12/1/2020 6:18:41.9,11
7191,2,12/1/2020 6:19:35.8,1
7191,2,12/1/2020 6:20:23.6,8
7191,2,12/1/2020 6:20:28.4,9
7191,2,12/1/2020 6:20:29.9,11
7191,2,12/1/2020 6:21:24.1,1
7191,2,12/1/2020 6:22:11.6,8
7191,2,12/1/2020 6:22:16.4,9
7191,2,12/1/2020 6:22:17.9,11
7191,2,12/1/2020 6:23:12.6,1
7191,2,12/1/2020 6:23:59.6,8
7191,2,12/1/2020 6:24:04.4,9
7191,2,12/1/2020 6:24:05.9,11
7191,2,12/1/2020 6:24:47.5,1
7191,2,12/1/2020 6:25:47.6,8
7191,2,12/1/2020 6:25:52.4,9
7191,2,12/1/2020 6:25:53.9,11
7191,2,12/1/2020 6:26:47.9,1
7191,2,12/1/2020 6:27:35.6,8
7191,2,12/1/2020 6:27:40.4,9
7191,2,12/1/2020 6:27:41.9,11
7191,2,12/1/2020 6:28:34.3,1
7191,2,12/1/2020 6:29:23.6,8
7191,2,12/1/2020 6:29:28.4,9
7191,2,12/1/2020 6:29:29.9,11
7191,2,12/1/2020 6:30:28.5,1
7191,2,12/1/2020 6:31:28.0,8
7191,2,12/1/2020 6:31:32.8,9
7191,2,12/1/2020 6:31:34.3,11
7191,2,12/1/2020 6:32:47.3,1
7191,2,12/1/2020 6:33:36.6,8
7191,2,12/1/2020 6:33:41.4,9
7191,2,12/1/2020 6:33:42.9,11
7191,2,12/1/2020 6:34:54.4,1
7191,2,12/1/2020 6:35:36.7,8
7191,2,12/1/2020 6:35:41.5,9
7191,2,12/1/2020 6:35:43.0,11
7191,2,12/1/2020 6:36:43.9,1
7191,2,12/1/2020 6:37:36.7,8
7191,2,12/1/2020 6:37:41.5,9
7191,2,12/1/2020 6:37:43.0,11
7191,2,12/1/2020 6:38:55.6,1
7191,2,12/1/2020 6:39:36.7,8
7191,2,12/1/2020 6:39:41.5,9
7191,2,12/1/2020 6:39:43.0,11
7191,2,12/1/2020 6:40:56.3,1
7191,2,12/1/2020 6:41:36.7,8
7191,2,12/1/2020 6:41:41.5,9
7191,2,12/1/2020 6:41:43.0,11
7191,2,12/1/2020 6:42:40.1,1
7191,2,12/1/2020 6:43:51.6,8
7191,2,12/1/2020 6:43:56.4,9
7191,2,12/1/2020 6:43:57.9,11
7191,2,12/1/2020 6:44:55.6,1
7191,2,12/1/2020 6:45:36.7,8
7191,2,12/1/2020 6:45:41.5,9
7191,2,12/1/2020 6:45:43.0,11
7191,2,12/1/2020 6:46:41.3,1
7191,2,12/1/2020 6:47:51.6,8
7191,2,12/1/2020 6:47:56.4,9
7191,2,12/1/2020 6:47:57.9,11
7191,2,12/1/2020 6:48:57.2,1
7191,2,12/1/2020 6:49:36.7,8
7191,2,12/1/2020 6:49:41.5,9
7191,2,12/1/2020 6:49:43.0,11
7191,2,12/1/2020 6:50:43.5,1
7191,2,12/1/2020 6:51:36.7,8
7191,2,12/1/2020 6:51:41.5,9
7191,2,12/1/2020 6:51:43.0,11
7191,2,12/1/2020 6:52:50.8,1
7191,2,12/1/2020 6:53:36.7,8
7191,2,12/1/2020 6:53:41.5,9
7191,2,12/1/2020 6:53:43.0,11
7191,2,12/1/2020 6:54:44.6,1
7191,2,12/1/2020 6:55:36.7,8
7191,2,12/1/2020 6:55:41.5,9
7191,2,12/1/2020 6:55:43.0,11
7191,2,12/1/2020 6:56:39.3,1
7191,2,12/1/2020 6:57:36.7,8
7191,2,12/1/2020 6:57:41.5,9
7191,2,12/1/2020 6:57:43.0,11
7191,2,12/1/2020 6:58:37.1,1
7191,2,12/1/2020 6:59:36.7,8
7191,2,12/1/2020 6:59:41.5,9
7191,2,12/1/2020 6:59:43.0,11
7191,2,12/1/2020 7:00:47.9,1
7191,2,12/1/2020 7:01:36.7,8
7191,2,12/1/2020 7:01:41.5,9
7191,7,12/1/2020 6:00:00.0,131
7191,1,12/1/2020 6:30:11.7,131
7191,7,12/1/2020 9:00:39.7,131
